LeftIndex	RightIndex	ReadLength	AvgEEPerPosition
11	228	217	0.00025893991873337743
11	229	218	0.00025982840005355103
11	230	219	0.00026057956514035003
11	231	220	0.0002618483020071627
11	232	221	0.0002637894023970439
11	233	222	0.0002663531228312742
12	201	189	0.0002371106276300912
12	202	190	0.00023826346900600412
12	203	191	0.0002390380034705252
12	204	192	0.00023973629441442353
12	205	193	0.0002403228080888604
12	206	194	0.00024102778584230317
12	207	195	0.00024150180357567102
12	208	196	0.00024210234745771717
12	209	197	0.00024294357480960087
12	210	198	0.00024383573061129791
12	211	199	0.0002446282821241764
12	212	200	0.0002454068555345922
12	213	201	0.0002463713145017695
12	214	202	0.00024726807583438996
12	215	203	0.000248070461134728
12	216	204	0.0002488952059363489
12	217	205	0.0002495798354880872
12	218	206	0.00025002153442904297
12	219	207	0.0002505264957172686
12	220	208	0.00025113124642120357
12	221	209	0.00025176048646619373
12	222	210	0.0002524172407270356
12	223	211	0.00025348387680995986
12	224	212	0.0002543264870217695
12	225	213	0.0002551525042122269
12	226	214	0.0002563136854334833
12	227	215	0.0002573457491316262
12	228	216	0.000258221272962842
12	229	217	0.000259117160398641
12	230	218	0.0002598750337640717
12	231	219	0.0002611527809881587
12	232	220	0.00026310586602080766
12	233	221	0.00026568427992476856
13	201	188	0.00023696198325199634
13	202	189	0.0002381217107959199
13	203	190	0.0002389010678534652
13	204	191	0.00023960373171129525
13	205	192	0.0002401939905751986
13	206	193	0.0002409032885113725
13	207	194	0.00024138039137393776
13	208	195	0.00024198463759487508
13	209	196	0.0002428307574835686
13	210	197	0.0002437280146717008
13	211	198	0.00024452511298989483
13	212	199	0.0002453081172673694
13	213	200	0.00024627789222071873
13	214	201	0.00024717957983997436
13	215	202	0.0002479863754437517
13	216	203	0.0002488155972428731
13	217	204	0.00024950397306051935
13	218	205	0.0002499481966910777
13	219	206	0.0002504559652561295
13	220	207	0.00025106397818791505
13	221	208	0.00025169656683039695
13	222	209	0.00025235676929170116
13	223	210	0.0002534287725532838
13	224	211	0.00025427563733603414
13	225	212	0.0002551057906910019
13	226	213	0.00025627264277959386
13	227	214	0.00025730972099340056
13	228	215	0.0002581894846012184
13	229	216	0.00025908966683237583
13	230	217	0.0002598511594002567
13	231	218	0.00026113487736557266
13	232	219	0.000263096962346419
13	233	220	0.000265687136784827
14	201	187	0.00023688558812999375
14	202	188	0.00023805189079448074
14	203	189	0.00023883574085233815
14	204	190	0.0002395424467673206
14	205	191	0.00024013611685534897
14	206	192	0.00024084941047723132
14	207	193	0.00024132926453615257
14	208	194	0.0002419368889687328
14	209	195	0.00024278759279852804
14	210	196	0.00024368964805744175
14	211	197	0.00024449098731437916
14	212	198	0.00024527811851080824
14	213	199	0.0002462529174526496
14	214	200	0.0002471592383838418
14	215	201	0.00024797014909737
14	216	202	0.0002488035562833503
14	217	203	0.0002494953824299481
14	218	204	0.0002499418257382571
14	219	205	0.00025045210230095706
14	220	206	0.0002510630855040385
14	221	207	0.000251698734442783
14	222	208	0.0002523621005331686
14	223	209	0.0002534392074886274
14	224	210	0.00025429005527065107
14	225	211	0.00025512407467026505
14	226	212	0.0002562963445329576
14	227	213	0.0002573381803827288
14	228	214	0.0002582219220476424
14	229	215	0.0002591261403010544
14	230	216	0.000259890989438839
14	231	217	0.0002611804396065823
14	232	218	0.00026315131597614346
14	233	219	0.00026575306950500204
15	201	186	0.00023704038009834762
15	202	187	0.00023821209191094228
15	203	188	0.00023899925925040285
15	204	189	0.0002397088391734113
15	205	190	0.00024030475809134463
15	206	191	0.00024102090329639915
15	207	192	0.00024150236340344413
15	208	193	0.0002421122392638238
15	209	194	0.00024296642429740616
15	210	195	0.0002438721883961149
15	211	196	0.00024467668479039045
15	212	197	0.0002454668689498673
15	213	198	0.0002464456378336419
